Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1635768000000,2021-11-01 12:00:00,31,18,13,-93,218.45,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1635854400000,2021-11-02 12:00:00,20,11,9,-60,68.85,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1635940800000,2021-11-03 12:00:00,29,16,13,-87,117.01,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636027200000,2021-11-04 12:00:00,22,11,11,-66,19.49,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636113600000,2021-11-05 12:00:00,28,16,12,-84,146.3,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636200000000,2021-11-06 12:00:00,17,8,9,-51,-5.12,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636286400000,2021-11-07 12:00:00,24,14,10,-72,121.43,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636372800000,2021-11-08 12:00:00,32,15,17,-96,24.49,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636459200000,2021-11-09 12:00:00,27,15,12,-81,97.64,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636545600000,2021-11-10 12:00:00,49,30,19,-147,232.64,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636632000000,2021-11-11 12:00:00,25,14,11,-75,124.41,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636718400000,2021-11-12 12:00:00,35,19,16,-105,123.95,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636804800000,2021-11-13 12:00:00,19,10,9,-57,42.1,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636891200000,2021-11-14 12:00:00,22,11,11,-66,49.34,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1636977600000,2021-11-15 12:00:00,45,28,17,-135,427.19,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1637064000000,2021-11-16 12:00:00,57,34,23,-171,263.34,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1637150400000,2021-11-17 12:00:00,35,21,14,-105,239.57,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1637236800000,2021-11-18 12:00:00,53,32,21,-159,210.77,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1637323200000,2021-11-19 12:00:00,22,12,10,-66,104.5,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1637409600000,2021-11-20 12:00:00,22,12,10,-66,38.51,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1637496000000,2021-11-21 12:00:00,29,15,14,-87,148.86,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1637582400000,2021-11-22 12:00:00,52,32,20,-156,207.54,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1637668800000,2021-11-23 12:00:00,32,15,17,-96,-75.58,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1637755200000,2021-11-24 12:00:00,34,20,14,-102,272.06,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1637841600000,2021-11-25 12:00:00,41,25,16,-123,142.75,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1637928000000,2021-11-26 12:00:00,34,17,17,-102,35.99,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1638014400000,2021-11-27 12:00:00,35,16,19,-105,-32.31,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1638100800000,2021-11-28 12:00:00,30,20,10,-90,306.51,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1638187200000,2021-11-29 12:00:00,35,21,14,-105,354.7,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.5,1,1638273600000,2021-11-30 12:00:00,44,27,17,-132,265.6,4290.98,-2940,1350.98
